========== REFRESH TOKEN RACE TEST ==========
Timestamp       : 2026-09-11T11:18:46.935043+00:00
Total requests  : 100
Success         : 1
Failed          : 99
Expected success: 1
PASSED          : True

========== REQUEST RESULTS ==========
Request 001 | Status: 400 | Success: False
Request 002 | Status: 400 | Success: False
Request 003 | Status: 200 | Success: True
Request 004 | Status: 400 | Success: False
Request 005 | Status: 400 | Success: False
Request 006 | Status: 400 | Success: False
Request 007 | Status: 400 | Success: False
Request 008 | Status: 400 | Success: False
Request 009 | Status: 400 | Success: False
Request 010 | Status: 400 | Success: False
Request 011 | Status: 400 | Success: False
Request 012 | Status: 400 | Success: False
Request 013 | Status: 400 | Success: False
Request 014 | Status: 400 | Success: False
Request 015 | Status: 400 | Success: False
Request 016 | Status: 400 | Success: False
Request 017 | Status: 400 | Success: False
Request 018 | Status: 400 | Success: False
Request 019 | Status: 400 | Success: False
Request 020 | Status: 400 | Success: False
Request 021 | Status: 400 | Success: False
Request 022 | Status: 400 | Success: False
Request 023 | Status: 400 | Success: False
Request 024 | Status: 400 | Success: False
Request 025 | Status: 400 | Success: False
Request 026 | Status: 400 | Success: False
Request 027 | Status: 400 | Success: False
Request 028 | Status: 400 | Success: False
Request 029 | Status: 400 | Success: False
Request 030 | Status: 400 | Success: False
Request 031 | Status: 400 | Success: False
Request 032 | Status: 400 | Success: False
Request 033 | Status: 400 | Success: False
Request 034 | Status: 400 | Success: False
Request 035 | Status: 400 | Success: False
Request 036 | Status: 400 | Success: False
Request 037 | Status: 400 | Success: False
Request 038 | Status: 400 | Success: False
Request 039 | Status: 400 | Success: False
Request 040 | Status: 400 | Success: False
Request 041 | Status: 400 | Success: False
Request 042 | Status: 400 | Success: False
Request 043 | Status: 400 | Success: False
Request 044 | Status: 400 | Success: False
Request 045 | Status: 400 | Success: False
Request 046 | Status: 400 | Success: False
Request 047 | Status: 400 | Success: False
Request 048 | Status: 400 | Success: False
Request 049 | Status: 400 | Success: False
Request 050 | Status: 400 | Success: False
Request 051 | Status: 400 | Success: False
Request 052 | Status: 400 | Success: False
Request 053 | Status: 400 | Success: False
Request 054 | Status: 400 | Success: False
Request 055 | Status: 400 | Success: False
Request 056 | Status: 400 | Success: False
Request 057 | Status: 400 | Success: False
Request 058 | Status: 400 | Success: False
Request 059 | Status: 400 | Success: False
Request 060 | Status: 400 | Success: False
Request 061 | Status: 400 | Success: False
Request 062 | Status: 400 | Success: False
Request 063 | Status: 400 | Success: False
Request 064 | Status: 400 | Success: False
Request 065 | Status: 400 | Success: False
Request 066 | Status: 400 | Success: False
Request 067 | Status: 400 | Success: False
Request 068 | Status: 400 | Success: False
Request 069 | Status: 400 | Success: False
Request 070 | Status: 400 | Success: False
Request 071 | Status: 400 | Success: False
Request 072 | Status: 400 | Success: False
Request 073 | Status: 400 | Success: False
Request 074 | Status: 400 | Success: False
Request 075 | Status: 400 | Success: False
Request 076 | Status: 400 | Success: False
Request 077 | Status: 400 | Success: False
Request 078 | Status: 400 | Success: False
Request 079 | Status: 400 | Success: False
Request 080 | Status: 400 | Success: False
Request 081 | Status: 400 | Success: False
Request 082 | Status: 400 | Success: False
Request 083 | Status: 400 | Success: False
Request 084 | Status: 400 | Success: False
Request 085 | Status: 400 | Success: False
Request 086 | Status: 400 | Success: False
Request 087 | Status: 400 | Success: False
Request 088 | Status: 400 | Success: False
Request 089 | Status: 400 | Success: False
Request 090 | Status: 400 | Success: False
Request 091 | Status: 400 | Success: False
Request 092 | Status: 400 | Success: False
Request 093 | Status: 400 | Success: False
Request 094 | Status: 400 | Success: False
Request 095 | Status: 400 | Success: False
Request 096 | Status: 400 | Success: False
Request 097 | Status: 400 | Success: False
Request 098 | Status: 400 | Success: False
Request 099 | Status: 400 | Success: False
Request 100 | Status: 400 | Success: False
